timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
54451439,0.2019114,0.16003485,-0.30081365
54473468,0.19063105,0.16003485,-0.2927557
54494467,0.18922101,0.16312914,-0.2996625
54517438,0.19486119,0.165192,-0.29851136
54538438,0.20050137,0.1620977,-0.28469774
54560450,0.20050137,0.16312914,-0.3031159
54583439,0.2075516,0.1620977,-0.30426705
54604439,0.19627123,0.16725485,-0.3088716
54627439,0.20614156,0.16312914,-0.31232503
54650452,0.19345114,0.16725485,-0.32613868
54672451,0.19768128,0.16828628,-0.3422546
54694452,0.18499085,0.16828628,-0.33534774
54716451,0.18640089,0.16622342,-0.34455687
54738620,0.18640089,0.16725485,-0.32959208
54760480,0.1920411,0.165192,-0.35146368
54782478,0.1835808,0.16003485,-0.345708
54804451,0.17935067,0.16312914,-0.35376596
54826450,0.17794062,0.11568347,-0.36067277
54848451,0.17512053,0.16106628,-0.35606822
54870451,0.18217076,0.16003485,-0.3698819
54892472,0.17653058,0.16416056,-0.48844904
54914451,0.17653058,0.16003485,-0.36297506
54936699,0.17935067,0.16106628,-0.36412618
54958451,0.1737105,0.15900342,-0.379091
54980451,0.16666025,0.15694056,-0.38369554
55002452,0.18499085,0.15281487,-0.3859978
55024696,0.16807029,0.1538463,-0.39060235
55046479,0.16384016,0.1538463,-0.4999604
55068824,0.17512053,0.15075201,-0.38830006
55090444,0.1708904,0.157972,-0.379091
55111445,0.1652502,0.15694056,-0.35952163
