timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
127107719,-0.1838646,-1.0593951,-0.31540784,-0.917122,0.049681384,-0.19338617,-0.344994,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127139736,0.35458913,1.2966418,-0.40536898,-0.9180967,0.052762605,-0.19877551,-0.33882576,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127172545,1.4097269,1.304953,-0.15929219,-0.9153167,0.0638282,-0.21694575,-0.33325064,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127204561,0.7536634,3.8209126,0.44859666,-0.9051032,0.062088065,-0.2593324,-0.33117968,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127232589,-1.1362276,2.0148542,0.119789995,-0.89113325,0.085664466,-0.2943585,-0.33450907,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127264520,-0.9045023,0.9093352,-0.17620677,-0.88240516,0.10747494,-0.31183037,-0.33551782,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127296543,-1.0781425,-2.73322,-0.24368252,-0.88927484,0.11513847,-0.2848633,-0.3388012,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127329324,1.0520393,-1.1891499,0.59583807,-0.8964041,0.09778971,-0.26095918,-0.34466985,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127361314,0.24669051,-1.2132295,0.17205977,-0.89938676,0.07142584,-0.2533068,-0.3490524,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127393341,-0.5209242,-1.2893237,-0.4418077,-0.90562725,0.064373784,-0.23258404,-0.348712,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127421371,0.4859748,0.9425558,-0.45153576,-0.9080124,0.065052405,-0.2319356,-0.34276462,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127454163,-0.101519555,0.9742322,-0.28808245,-0.9053762,0.07886633,-0.2467552,-0.33643115,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127486124,0.4936604,2.918132,0.33730465,-0.89918095,0.07590351,-0.27616507,-0.33082503,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127518193,-1.3770803,1.9957446,-0.028878987,-0.8826918,0.09844973,-0.3185096,-0.3312319,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127550164,-1.328261,0.87129414,-0.32607943,-0.874218,0.12120063,-0.332145,-0.3327659,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127578122,-1.1923062,-3.0220077,-0.4031071,-0.8802476,0.12722231,-0.31069264,-0.33533394,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127610945,1.5141367,-1.9469372,0.6021545,-0.8921367,0.112065494,-0.27123582,-0.34345984,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127642920,0.7593403,-1.8204274,0.4631093,-0.89759356,0.07778125,-0.25670177,-0.3498289,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127674914,-0.2925269,-2.1879168,-0.40744576,-0.90644443,0.06272182,-0.2258777,-0.3512888,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127706941,0.38323143,0.64598525,-0.3367731,-0.9110304,0.058906768,-0.21662259,-0.34587345,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127739739,-0.10907613,0.4197697,-0.2621158,-0.91025513,0.07278251,-0.2237296,-0.34071022,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127767732,0.11607,2.3781815,0.35755625,-0.90654457,0.06874019,-0.2437267,-0.33771166,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127799718,-1.4675967,1.8291168,0.013014846,-0.89278805,0.08802787,-0.2835392,-0.3388012,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127831714,-1.3866394,0.9311438,-0.31938893,-0.88563305,0.11079753,-0.29474473,-0.3413263,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127864539,-1.0427499,-3.0518444,-0.24718936,-0.89212775,0.11805653,-0.26862097,-0.34353104,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127896519,1.3958117,-1.4153469,0.580898,-0.9009569,0.098703675,-0.2382805,-0.34893647,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127928524,0.91087943,-1.504954,0.20119189,-0.90424025,0.06831827,-0.22927015,-0.35371938,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127960540,-0.2578985,-1.6037722,-0.4433947,-0.91180944,0.053469244,-0.2044122,-0.35208002,0.28009585,-0.7013075,-0.27926207,0.5930657,2
127988555,0.18689774,0.813377,-0.3464564,-0.91448706,0.050639577,-0.20252708,-0.34660047,0.28009585,-0.7013075,-0.27926207,0.5930657,2
128021356,0.25406882,0.47854185,-0.28554794,-0.91422087,0.05996386,-0.21185295,-0.3401807,0.28009585,-0.7013075,-0.27926207,0.5930657,2
128053324,0.75364465,3.1030674,0.28176525,-0.90805763,0.056049634,-0.24161981,-0.337505,0.28009585,-0.7013075,-0.27926207,0.5930657,2
128085340,-0.95251507,1.4231865,-0.008285698,-0.89591867,0.079557694,-0.2755918,-0.3391896,0.28009585,-0.7013075,-0.27926207,0.5930657,2
128117360,-0.8968372,0.19666986,-0.19407411,-0.89060277,0.101695955,-0.28315386,-0.34104046,0.28009585,-0.7013075,-0.27926207,0.5930657,2
